Date,Open,High,Low,Close,Volume,OpenInterest,Close_Spot,T_Annual,IV,Delta,Gamma,Theta,Vega
2026-08-06 10:21:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:22:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:23:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:24:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:25:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:26:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:27:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:28:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:29:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:30:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:31:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:32:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:33:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:34:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:35:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:36:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:37:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:38:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:39:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:40:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:41:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:42:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:43:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:44:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:45:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:46:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:47:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:48:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:49:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:50:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:51:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:52:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:53:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:54:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:55:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:56:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:57:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:58:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 10:59:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:00:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:01:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:02:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:03:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:04:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:05:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:06:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:07:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:08:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:09:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:10:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:11:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:12:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:13:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:14:00,8.9,8.9,8.9,8.9,1,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:15:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:16:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:17:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:18:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:19:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:20:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:21:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:22:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:23:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:24:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:25:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:26:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:27:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:28:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:29:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:30:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:31:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:32:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:33:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:34:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:35:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:36:00,8.9,8.9,8.9,8.9,0,14,255.9,0.038356164383561646,,,,,
2026-08-06 11:37:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:38:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:39:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:40:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:41:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:42:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:43:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:44:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:45:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:46:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:47:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:48:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:49:00,8.9,8.9,8.9,8.9,0,14,257.4,0.038356164383561646,,,,,
2026-08-06 11:50:00,8.1,8.1,8.1,8.1,1,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:51:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:52:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:53:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:54:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:55:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:56:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:57:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:58:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 11:59:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:00:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:01:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:02:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:03:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:04:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:05:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:06:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:07:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:08:00,8.1,8.1,8.1,8.1,0,16,257.4,0.038356164383561646,,,,,
2026-08-06 12:09:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:10:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:11:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:12:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:13:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:14:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:15:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:16:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:17:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:18:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:19:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:20:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:21:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:22:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:23:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:24:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:25:00,8.1,8.1,8.1,8.1,0,16,258.4,0.038356164383561646,,,,,
2026-08-06 12:26:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:27:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:28:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:29:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:30:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:31:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:32:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:33:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:34:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:35:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:36:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:37:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:38:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:39:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:40:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:41:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:42:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:43:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:44:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:45:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:46:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:47:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:48:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:49:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:50:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:51:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:52:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:53:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:54:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:55:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:56:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:57:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:58:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 12:59:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:00:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:01:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:02:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:03:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:04:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:05:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:06:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:07:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:08:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:09:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:10:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:11:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:12:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:13:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:14:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:15:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:16:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:17:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:18:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:19:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:20:00,8.1,8.1,8.1,8.1,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:21:00,8.05,8.05,8.05,8.05,1,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:22:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:23:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:24:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:25:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:26:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:27:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:28:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:29:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:30:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:31:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:32:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:33:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:34:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:35:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:36:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:37:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:38:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:39:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:40:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:41:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:42:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:43:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:44:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:45:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:46:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:47:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:48:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:49:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:50:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:51:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:52:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:53:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:54:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:55:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:56:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:57:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:58:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 13:59:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:00:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:01:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:02:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:03:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:04:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:05:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:06:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:07:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:08:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
2026-08-06 14:09:00,8.05,8.05,8.05,8.05,0,16,258.6,0.038356164383561646,,,,,
